产品名称,图片路径,指令类型,寄存器地址(起始地址),寄存器个数,小数位数,单位,波特率(暂加),数据名称,高低字节,10
温湿度,Drivers\485ch\非气体类\485温湿度.jpg,3:03,0:01,1:01,1:01,%RH:℃,9600,湿度:温度,1:01
土壤温湿度1,Drivers\485ch\非气体类\485土壤温湿度.jpg,3:03,2:03,1:01,1:01,%RH:℃,9600,土壤湿度:土壤温度,1:01
土壤温湿度2,Drivers\485ch\非气体类\485土壤温湿度.jpg,3:03,18:19,1:01,1:01,%RH:℃,9600,土壤湿度:土壤温度,1:01
土壤三合一,Drivers\485ch\非气体类\485土壤EC温湿度.jpg,3:03:03,18:19:21,1:01:01,1:01:00,%RH:℃:us/cm,9600,土壤湿度:土壤温度:土壤电导率,1:01:01
光照,Drivers\485ch\非气体类\485光照度.jpg,3,7:08,2,0,Lux,9600,光照强度,2
pm2.5/pm10,Drivers\485ch\非气体类\485pm.jpg,3:03,4:09,1:01,0:00,ug/m3:ug/m3,9600,pm2.5浓度:pm10浓度,1:01
噪声,Drivers\485ch\非气体类\485噪声.jpg,3,12,1,1,dB,9600,噪声,1
大气压力,Drivers\485ch\非气体类\485大气压力.jpg,3,10:11,2,2,mbar,9600,大气压力,2
紫外线,Drivers\485ch\非气体类\485紫外线.jpg,3,8,1,1,W/m2,9600,紫外线强度,1
土壤PH,Drivers\485ch\非气体类\485土壤PH.jpg,3,6,1,1,PH,9600,酸碱度,1
土壤氮,Drivers\485ch\非气体类\485土壤氮.jpg,3,20,1,0,mg/kg,9600,氮,1
土壤磷,Drivers\485ch\非气体类\485土壤磷.jpg,3,20,1,0,mg/kg,9600,磷,1
土壤钾,Drivers\485ch\非气体类\485土壤钾.jpg,3,20,1,0,mg/kg,9600,钾,1
土壤氮磷钾三合一,Drivers\485ch\非气体类\485土壤氮磷钾.png,3:03:03,30:31:32,1:01:01,0:00:00,mg/kg:mg/kg:mg/kg,9600,氮:磷:钾,1:01:01
雨量,Drivers\485ch\非气体类\485雨量.jpg,3,261,1,1,mm,9600,雨量,1
水浸,Drivers\485ch\非气体类\485水浸.jpg,3,16,1,0,;,9600,水浸,1
雨雪,Drivers\485ch\非气体类\485雨雪.jpg,3,16,1,0,;,9600,雨雪,1
太阳总辐射,Drivers\485ch\非气体类\485太阳总辐射.jpg,3,256,1,0,W/m2,9600,太阳总辐射,1
光合有效辐射,Drivers\485ch\非气体类\485光合有效辐射传感器.jpg,3,256,1,0,W/m2,9600,光合有效辐射,1
聚碳风速,Drivers\485ch\非气体类\485聚碳风速.jpg,3,0,1,1,m/s,9600,风速,1
聚碳风向,Drivers\485ch\非气体类\485聚碳风向.jpg,3,0,1,0,°,9600,风向,1
铝合金风速,Drivers\485ch\非气体类\485铝合金风速.jpg,3,22,1,1,m/s,9600,风速,1
铝合金风向,Drivers\485ch\非气体类\485铝合金风向.jpg,3,23,1,0,°,9600,风向,1
氨气,Drivers\485ch\气体类\485氨气.jpg,3,6,1,2,ppm,9600,氨气浓度,1
二氧化碳,Drivers\485ch\气体类\485二氧化碳.jpg,3,5,1,0,ppm,9600,二氧化碳浓度,1
氧气,Drivers\485ch\气体类\485氧气.jpg,3,6,1,1,%,9600,氧气浓度,1
臭氧（低量程）,Drivers\485ch\气体类\485臭氧.jpg,3,6,1,2,ppm,9600,臭氧浓度,1
臭氧（高量程）,Drivers\485ch\气体类\485臭氧.jpg,3,6,1,1,ppm,9600,臭氧浓度,1
二氧化氮,Drivers\485ch\气体类\485二氧化氮.jpg,3,6,1,2,ppm,9600,二氧化氮浓度,1
二氧化硫,Drivers\485ch\气体类\485二氧化硫.jpg,3,6,1,2,ppm,9600,二氧化硫浓度,1
一氧化碳,Drivers\485ch\气体类\485一氧化碳.jpg,3,6,1,1,ppm,9600,一氧化碳浓度,1
一氧化氮,Drivers\485ch\气体类\485一氧化氮.jpg,3,6,1,1,ppm,9600,一氧化氮浓度,1
氢气（电化学）,Drivers\485ch\气体类\485氢气.jpg,3,6,1,0,ppm,9600,氢气浓度,1
氢气（可燃式）,Drivers\485ch\气体类\485氢气.jpg,3,6,1,1,%LEL,9600,氢气浓度,1
氟利昂,Drivers\485ch\气体类\485氟利昂.jpg,3,6,1,0,ppm,9600,氟利昂浓度,1
氟气,Drivers\485ch\气体类\485氟气.jpg,3,6,1,1,ppm,9600,氟气浓度,1
环氧乙烷,Drivers\485ch\气体类\485环氧乙烷.jpg,3,6,1,0,ppm,9600,环氧乙烷浓度,1
甲醛（低量程）,Drivers\485ch\气体类\485甲醛.jpg,3,6,1,3,ppm,9600,甲醛浓度,1
甲醛（高量程）,Drivers\485ch\气体类\485甲醛.jpg,3,6,1,2,ppm,9600,甲醛浓度,1
甲烷,Drivers\485ch\气体类\485甲烷.jpg,3,6,1,1,%LEL,9600,甲烷浓度,1
可燃气体,Drivers\485ch\气体类\485可燃气体.jpg,3,6,1,1,%LEL,9600,气体浓度,1
磷化氢,Drivers\485ch\气体类\485磷化氢.jpg,3,6,1,2,ppm,9600,磷化氢浓度,1
硫化氢,Drivers\485ch\气体类\485硫化氢.jpg,3,6,1,1,ppm,9600,硫化氢浓度,1
六氟化硫,Drivers\485ch\气体类\485六氟化硫.jpg,3,6,1,0,ppm,9600,六氟化硫浓度,1
氯化氢,Drivers\485ch\气体类\485氯化氢.jpg,3,6,1,1,ppm,9600,氯化氢浓度,1
氯气,Drivers\485ch\气体类\485氯气.jpg,3,6,1,1,ppm,9600,氯气浓度,1
乙醇,Drivers\485ch\气体类\485乙醇.jpg,3,6,1,0,ppm,9600,乙醇浓度,1
氰化氢,Drivers\485ch\气体类\485氰化氢.jpg,3,6,1,1,ppm,9600,氰化氢浓度,1
氮气,Drivers\485ch\气体类\485氮气.jpg,3,6,1,1,ppm,9600,氮气浓度,1
